wl,n
0.26049,3.43205E+00
0.26159,3.49606E+00
0.26270,3.55371E+00
0.26381,3.60654E+00
0.26494,3.65273E+00
0.26608,3.69534E+00
0.26723,3.73572E+00
0.26838,3.77466E+00
0.26955,3.81255E+00
0.27073,3.85100E+00
0.27191,3.88906E+00
0.27311,3.92570E+00
0.27432,3.95920E+00
0.27554,3.98624E+00
0.27677,4.00656E+00
0.27801,4.02017E+00
0.27926,4.02559E+00
0.28053,4.02430E+00
0.28180,4.01657E+00
0.28309,4.00489E+00
0.28439,3.98902E+00
0.28570,3.96990E+00
0.28702,3.94939E+00
0.28835,3.92597E+00
0.28970,3.90179E+00
0.29106,3.87715E+00
0.29244,3.85202E+00
0.29382,3.82681E+00
0.29522,3.80272E+00
0.29663,3.77926E+00
0.29806,3.75660E+00
0.29950,3.73487E+00
0.30095,3.71427E+00
0.30242,3.69528E+00
0.30390,3.67681E+00
0.30540,3.65930E+00
0.30691,3.64294E+00
0.30844,3.62778E+00
0.30998,3.61349E+00
0.31154,3.60025E+00
0.31311,3.58797E+00
0.31470,3.57682E+00
0.31631,3.56678E+00
0.31793,3.55791E+00
0.31957,3.54997E+00
0.32122,3.54276E+00
0.32290,3.53647E+00
0.32459,3.53138E+00
0.32630,3.52709E+00
0.32802,3.52373E+00
0.32977,3.52125E+00
0.33153,3.51961E+00
0.33331,3.51910E+00
0.33512,3.51958E+00
0.33694,3.52105E+00
0.33878,3.52363E+00
0.34064,3.52704E+00
0.34252,3.53132E+00
0.34442,3.53694E+00
0.34635,3.54380E+00
0.34829,3.55161E+00
0.35026,3.56058E+00
0.35225,3.57093E+00
0.35426,3.58246E+00
0.35630,3.59541E+00
0.35836,3.60991E+00
0.36044,3.62589E+00
0.36255,3.64421E+00
0.36468,3.66468E+00
0.36684,3.68747E+00
0.36903,3.71315E+00
0.37124,3.74297E+00
0.37347,3.77707E+00
0.37574,3.81787E+00
0.37803,3.86684E+00
0.38035,3.92505E+00
0.38269,3.99982E+00
0.38507,4.08670E+00
0.38748,4.17867E+00
0.38991,4.26329E+00
0.39238,4.32937E+00
0.39488,4.37664E+00
0.39741,4.41240E+00
0.39998,4.44075E+00
0.40257,4.46702E+00
0.40520,4.49714E+00
0.40787,4.54333E+00
0.41057,4.61656E+00
0.41331,4.72058E+00
0.41608,4.85265E+00
0.41889,4.96468E+00
0.42174,5.02373E+00
0.42463,5.03903E+00
0.42756,5.02004E+00
0.43053,4.98074E+00
0.43354,4.93203E+00
0.43659,4.88076E+00
0.43969,4.82963E+00
0.44283,4.77962E+00
0.44602,4.73089E+00
0.44925,4.68558E+00
0.45253,4.64157E+00
0.45586,4.59938E+00
0.45923,4.55929E+00
0.46266,4.52144E+00
0.46614,4.48543E+00
0.46967,4.45063E+00
0.47325,4.41771E+00
0.47689,4.38605E+00
0.48059,4.35607E+00
0.48435,4.32739E+00
0.48816,4.29988E+00
0.49203,4.27343E+00
0.49597,4.24774E+00
0.49997,4.22320E+00
